HIP, e_Plx, Plx
84478,1.06,167.56
84487,1.85,40.17
84521,2.86,66.92
84581,43.18,100.89
84607,1.04,41.58
84616,0.68,53.97
84652,1.99,48.26
84709,17.12,143.45
84720,1.36,113.81
84790,1.77,80.98
84794,6.03,83.01
84862,0.56,69.48
84893,0.93,57.48
85042,0.85,51.39
85126,4.11,42.5
85235,0.51,78.14
85295,0.95,129.54
85523,1.63,220.43
85561,1.68,55.03
85582,3.76,42.4
85605,39.48,202.69
85647,1.81,61.98
85653,0.59,44.77
85665,1.3,100.17
85667,1.42,60.8
85810,0.56,42.2
86032,0.88,69.84
86036,0.55,70.98
86057,2.21,102.3
86087,1.09,70.95
86141,0.73,52.57
86162,0.92,220.85
86201,0.53,42.62
86214,2.43,198.32
86282,4.41,45.17
86287,1.62,123.02
86340,0.81,41.82
86346,12.06,40.75
86400,1.25,93.36
86486,0.79,45.72
86614,0.82,45.38
86620,1.94,44.8
86707,3.38,50.8
86722,0.98,42.45
86736,0.79,57
86742,0.75,39.78
86776,1.15,105.39
86796,0.8,65.46
86916,1.41,44.5
86961,11.29,161.77
86963,11.29,161.77
86974,0.62,119.05
86990,2.22,172.08
87322,2.06,45.67
87579,1.04,40.22
87768,2.21,43.4
87773,2.14,39.56
87937,1.58,549.01
87938,1.84,73.75
88118,18.45,45.99
88175,0.75,43.11
88348,0.71,45.61
88499,1.85,46.71
88574,1.44,128.28
88601,1.38,196.62
88622,0.88,41
88694,0.77,57.58
88745,0.55,63.88
88771,0.83,39.4
88945,0.68,39.62
88972,0.54,90.11
88976,7.73,43.68
89042,0.68,56.32
89211,1.23,77.18
89348,0.45,42.56
89474,0.51,44.08
89490,2.18,43.1
89517,4.26,52.57
89560,1.11,58.47
89805,0.72,43.64
89825,1.43,51.81
89937,0.48,124.11
89962,0.75,52.81
90265,1.83,45.91
90306,1.79,39.4
90376,0.89,40.98
