HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 99438,Gaia DR3 6749419923164242816,Gaia DR2 6749419923164242816,\N,65.06,3.85,61.6935,0.0323
HIP 61291,Gaia DR3 5856411869205581568,Gaia DR2 5856411869205581568,Gaia DR1 5856411864879231744,61.83,0.63,61.7737,0.0154
HIP 108752,Gaia DR3 1775651840806925312,Gaia DR2 1775651840806925312,\N,60.94,2.14,61.79,2.23
HIP 103393,Gaia DR3 6913810483612308480,Gaia DR2 6913810483612308480,\N,56.56,4.03,61.8242,0.0738
HIP 113718,Gaia DR3 2636589099125426816,Gaia DR2 2636589099125426816,Gaia DR1 2636589094829845504,59.04,3.4,61.8341,0.4863
HIP 38908,Gaia DR3 5291028181119851776,Gaia DR2 5291028181119851776,Gaia DR1 5291028176822607360,61.76,0.51,61.836,0.0417
HIP 105038,Gaia DR3 1743592452563243136,Gaia DR2 1743592452563243136,Gaia DR1 1743592448268767104,61.83,1.06,61.838,0.023
HIP 17439,Gaia DR3 4856592239127350400,Gaia DR2 4856592239127350400,Gaia DR1 4856592234830637440,61.63,0.67,61.8444,0.0154
HIP 2120,Gaia DR3 530158019855216896,Gaia DR2 530158019855216896,Gaia DR1 530158015555928064,61.39,1.51,61.8731,0.013
HIP 12929,Gaia DR3 25488745411919360,Gaia DR2 25488745411919360,Gaia DR1 25488741116165120,62.83,1.53,61.891,0.028
HIP 39987,Gaia DR3 5320435203722048768,Gaia DR2 5320435203722048768,Gaia DR1 5320434443509347328,60.23,2.33,61.8988,0.0156
HIP 103388,Gaia DR3 6890353330746858368,Gaia DR2 6890353330746858368,\N,67.71,10.55,61.9763,0.0274
HIP 49091,Gaia DR3 5463554406059006336,Gaia DR2 5463554195989068800,Gaia DR1 5463554195605068800,62.33,2.35,62.0004,0.041
HIP 111391,Gaia DR3 6623761137270596992,Gaia DR2 6623761137269809664,Gaia DR1 6623761132975004032,63.98,2.55,62.0787,0.042
HIP 65877,Gaia DR3 3630035787972473600,Gaia DR2 3630035787972473600,\N,55.5,3.77,62.1485,0.0444
HIP 98767,Gaia DR3 2029433521248546304,Gaia DR2 2029433521248546304,Gaia DR1 2029433516936897152,62.92,0.62,62.4865,0.0354
HIP 77349,Gaia DR3 6268621389764361344,Gaia DR2 6268621389764361344,\N,64.16,2.49,62.5155,0.2773
HIP 51525,Gaia DR3 830239138487431808,Gaia DR2 830239138487431808,Gaia DR1 830239134189752576,63.81,1.17,62.5202,0.0208
HIP 85647,Gaia DR3 5925209583053212800,Gaia DR2 5925209583053212800,Gaia DR1 5925209510013598336,61.98,1.81,62.5786,0.0303
HIP 15366,Gaia DR3 235383247412615936,Gaia DR2 235383247412615936,\N,57.75,2.19,62.6417,0.0241
HIP 60303,Gaia DR3 1537992501630401920,Gaia DR2 1537992501630401920,Gaia DR1 1537992501246401920,62.54,1.26,62.7385,0.0181
HIP 3909,Gaia DR3 2473608009504466688,Gaia DR2 2473608009504466688,\N,64.69,1.03,62.8022,0.0951
HIP 69285,Gaia DR3 6124711741640147712,Gaia DR2 6124711741640147712,Gaia DR1 6124711737344294400,58.18,2.14,62.8142,0.0242
HIP 23835,Gaia DR3 3407611182744289152,Gaia DR2 3407611182744289152,\N,63.02,0.93,62.8252,0.1094
HIP 116003,Gaia DR3 2391670474561181440,Gaia DR2 2391670474561181440,Gaia DR1 2391670474561181440,67.57,7.83,62.8679,0.0759
HIP 109638,Gaia DR3 2723557788822526720,Gaia DR2 2723557788822526720,Gaia DR1 2723557784528599936,71.97,4.34,62.8785,0.0223
HIP 77760,Gaia DR3 1384195086792268800,Gaia DR2 1384195086792268800,\N,63.08,0.54,62.9028,0.0807
HIP 99385,Gaia DR3 6866310172545095424,Gaia DR2 6866310172545095424,Gaia DR1 6866310168247114368,63.82,1.49,63.2074,0.0347
HIP 74702,Gaia DR3 4419140645978987904,Gaia DR2 4419140645978987904,Gaia DR1 4419140641683040384,64.19,0.97,63.2139,0.0229
HIP 56238,Gaia DR3 3980560507224374400,Gaia DR2 3980560507224374400,Gaia DR1 3980560502928710144,61.76,1.56,63.2148,0.0206
HIP 47981,Gaia DR3 1130450270073924608,Gaia DR2 1130450270073924608,Gaia DR1 1130450270073924608,62.85,1.53,63.3251,0.0153
HIP 80093,Gaia DR3 1380821338441693312,Gaia DR2 1380821338441693312,Gaia DR1 1380821334145812608,62.86,0.9,63.3405,0.0145
HIP 26081,Gaia DR3 3223516063958808064,Gaia DR2 3223516063958808064,Gaia DR1 3223516063958808064,59.45,3.88,63.3597,0.0477
HIP 70956,Gaia DR3 6328672145023976960,Gaia DR2 6328672145023976960,\N,60.53,1.57,63.3625,0.0171
HIP 82099,Gaia DR3 4558856584955186432,Gaia DR2 4558856584955186432,Gaia DR1 4558856580658367360,60.34,3.39,63.3656,0.0212
HIP 105341,Gaia DR3 6832674634380238848,Gaia DR2 6832674634380238848,\N,61.04,1.31,63.3864,0.0243
HIP 104644,Gaia DR3 6579894402894605824,Gaia DR2 6579894402894605824,\N,69.76,4.06,63.3885,0.0236
HIP 88745,Gaia DR3 4590758227641991424,Gaia DR2 4590758227640885248,\N,63.88,0.55,63.3943,0.075
HIP 28954,Gaia DR3 3345968334645285376,Gaia DR2 3345968334645285376,\N,64.71,0.91,63.4065,0.0269
HIP 82256,Gaia DR3 5805810454276181120,Gaia DR2 5805810454276181120,Gaia DR1 5805810449978761472,62.66,2.1,63.4273,0.0144
HIP 71284,Gaia DR3 1284257623084916480,Gaia DR2 1284257623084916480,\N,64.66,0.72,63.4679,0.1173
HIP 34104,Gaia DR3 3046530292874936448,Gaia DR2 3046530292874936448,\N,64.96,2.74,63.5507,0.5143
HIP 48477,Gaia DR3 3823307284773157248,Gaia DR2 3823307284773157248,Gaia DR1 3823307284773157248,63.81,1.84,63.6117,0.0737
HIP 24819,Gaia DR3 3213958769587525888,Gaia DR2 3213958769587525888,\N,59.29,1.68,63.6435,0.0225
HIP 110996,Gaia DR3 6614285855300051840,Gaia DR2 6614285855300051840,\N,64.74,1.07,63.6519,0.0266
HIP 66765,Gaia DR3 6164998500516764160,Gaia DR2 6164998500516764160,Gaia DR1 6164998496222020096,64.08,0.81,63.7263,0.0291
HIP 56662,Gaia DR3 4019458647338779648,Gaia DR2 4019458647338779648,\N,65.28,3.61,63.7329,0.0389
HIP 18280,Gaia DR3 3244915072792668416,Gaia DR2 3244915072792668416,Gaia DR1 3244915068495745792,64.9,1.18,63.8136,0.0228
HIP 52296,\N,Gaia DR2 5443030196164951168,\N,61.3,2.42,63.9761,0.0545
HIP 98792,Gaia DR3 1833199729671740800,Gaia DR2 1833199729671740800,Gaia DR1 1833199725353260160,64.17,0.85,64.012,0.0164
HIP 67275,Gaia DR3 1244571953471006720,Gaia DR2 1244571953471006720,\N,64.12,0.7,64.047,0.1093
HIP 95319,Gaia DR3 2046207670631964928,Gaia DR2 2046207670631964928,Gaia DR1 2046207666325319040,64.54,0.6,64.0703,0.0154
HIP 86796,Gaia DR3 5945941905576552064,Gaia DR2 5945941905576552064,\N,65.46,0.8,64.0853,0.0904
HIP 36349,Gaia DR3 5605469402661155968,Gaia DR2 5605469398353836544,\N,64.24,2.68,64.1401,0.4729
HIP 76779,Gaia DR3 6260386975385254656,Gaia DR2 6260386975385254656,Gaia DR1 6260386971084928640,63.56,1.36,64.1825,0.0236
HIP 52186,Gaia DR3 3774789959807192064,Gaia DR2 3774789959807192064,Gaia DR1 3774789959807192064,59.46,2.94,64.1977,0.0224
HIP 91128,Gaia DR3 2118424350249708800,Gaia DR2 2118424350249708800,\N,64.61,1.03,64.2358,0.012
HIP 107649,Gaia DR3 6564091190988411520,Gaia DR2 6564091190988411520,\N,63.95,0.78,64.2717,0.043
HIP 108159,Gaia DR3 6561146458331160320,Gaia DR2 6561146458331160320,Gaia DR1 6561146454034124928,66.12,3.51,64.3881,0.0227
HIP 113357,Gaia DR3 2835207319109249920,Gaia DR2 2835207319109249920,\N,65.1,0.76,64.4048,0.0771
HIP 95501,Gaia DR3 4289041379340453376,Gaia DR2 4289041379334773888,\N,65.05,0.81,64.41,1.0
HIP 42762,Gaia DR3 598180646733241216,Gaia DR2 598180646733241216,Gaia DR1 598180642438136704,64.56,3.92,64.7054,0.0214
HIP 48904,Gaia DR3 5408648849826522112,Gaia DR2 5408648849826522112,Gaia DR1 5408651800458528512,62.88,1.85,64.7193,0.0203
HIP 42748,\N,\N,Gaia DR1 598180814236806656,74.95,13.82,64.8,2.35
HIP 65520,Gaia DR3 6188331614726318720,Gaia DR2 6188331614726318720,Gaia DR1 6188331610431110912,61.5,2.29,64.9887,0.024
HIP 4022,Gaia DR3 2349206308999273984,Gaia DR2 2349206308999273984,Gaia DR1 2349206304704172544,65.81,1.44,65.0902,0.0247
HIP 1295,Gaia DR3 2797745549200763520,Gaia DR2 2797745549200763520,\N,49.91,21.56,65.1081,0.0413
HIP 15919,Gaia DR3 5170039467784804096,Gaia DR2 5170039502144332800,Gaia DR1 5170039497849255808,66.15,0.95,65.2607,0.0277
HIP 52596,Gaia DR3 5454500168322239872,Gaia DR2 5454500168322239872,Gaia DR1 5454500164025682816,72.19,2.45,65.2656,0.0212
HIP 82860,Gaia DR3 1635375460142367104,Gaia DR2 1635375460141804800,\N,66.28,0.48,65.2904,0.547
HIP 18512,Gaia DR3 3256334497479041024,Gaia DR2 3256334497479041024,Gaia DR1 3256334493182776064,63.41,2.0,65.4262,0.0234
HIP 37853,Gaia DR3 5588607120530408832,Gaia DR2 5588607120530408832,\N,65.79,0.56,65.4544,0.2145
HIP 5862,Gaia DR3 4934923028038871296,Gaia DR2 4934923028038380032,\N,66.43,0.64,65.527,0.0704
HIP 59514,Gaia DR3 1573086442800134272,Gaia DR2 1573086442800134272,Gaia DR1 1573086507223498752,65.29,1.47,65.5792,0.0131
HIP 10812,Gaia DR3 4966414930843912320,Gaia DR2 4966414930843373184,Gaia DR1 4966414926546926976,71.56,2.99,65.5851,0.0911
HIP 77358,Gaia DR3 6009538585839374336,Gaia DR2 6009538585839374336,\N,65.6,0.77,65.5889,0.0342
HIP 31300,Gaia DR3 5482827676662168832,Gaia DR2 5482827676662168832,Gaia DR1 5482827672366163456,61.28,1.89,65.722,0.0129
HIP 27435,Gaia DR3 3023711269067191296,Gaia DR2 3023711269067191296,Gaia DR1 3023711264771623808,64.25,1.19,65.7446,0.0307
HIP 92573,Gaia DR3 4510987662629223424,Gaia DR2 4510987662629223424,Gaia DR1 4510987658318481024,64.13,1.81,65.759,0.0159
HIP 19394,Gaia DR3 4780294722094459904,Gaia DR2 4780294722094459904,Gaia DR1 4780294683438958976,66.82,2.01,66.0705,0.0172
HIP 84521,Gaia DR3 4395113396338721024,Gaia DR2 4395113392038461312,Gaia DR1 4395113392038461312,66.92,2.86,66.1343,0.0312
HIP 68682,Gaia DR3 3724242219117947904,Gaia DR2 3724242219117947904,\N,60.24,0.78,66.1469,0.2708
HIP 66675,Gaia DR3 3633926753464638592,Gaia DR2 3633926753464638592,\N,68.8,1.43,66.201,0.0249
HIP 112909,Gaia DR3 1889703529122914560,Gaia DR2 1889703525209960960,Gaia DR1 1889703524825960960,70.3,2.71,66.2052,0.0435
HIP 37288,Gaia DR3 3135225421986581504,Gaia DR2 3135225421986581504,Gaia DR1 3135225417687835520,67.27,1.51,66.3374,0.0208
HIP 5247,Gaia DR3 523433578540463488,Gaia DR2 523433578540463488,Gaia DR1 523427904882251776,66.46,1.27,66.3666,0.0161
HIP 3583,Gaia DR3 4975284381908412672,Gaia DR2 4975284381907834880,\N,66.92,0.73,66.4509,0.0446
HIP 104092,Gaia DR3 1736838805468812160,Gaia DR2 1736838805468812160,Gaia DR1 1736838801172533120,67.38,1.35,66.4626,0.0225
HIP 105199,Gaia DR3 2193192137376175488,\N,\N,66.84,0.49,66.5,0.11
HIP 103655,Gaia DR3 1873073175244118784,Gaia DR2 1873073175244118784,\N,66.21,2.54,66.5535,0.0722
HIP 59199,Gaia DR3 3489338019475637760,Gaia DR2 3489338019474978176,\N,67.71,0.75,66.7696,0.1804
HIP 3937,\N,Gaia DR2 2805045756653326080,\N,83.2,9.08,66.8084,0.1229
HIP 49189,Gaia DR3 823228721067307392,Gaia DR2 823228721066990720,\N,67.14,1.66,66.8448,0.023
HIP 28103,Gaia DR3 2995725777563537792,Gaia DR2 2995725777561177472,\N,66.47,0.74,66.8573,0.1759
HIP 47592,Gaia DR3 5663558453071724288,Gaia DR2 5663558453071724288,\N,67.19,0.73,66.8827,0.1123
HIP 49081,Gaia DR3 746545172372256384,Gaia DR2 746545172372256384,\N,67.14,0.83,66.9958,0.0921
HIP 95447,Gaia DR3 4315804351350378496,Gaia DR2 4315804351350378496,\N,66.01,0.77,67.0153,0.0657
HIP 114411,Gaia DR3 2379962604166006016,Gaia DR2 2379962604166006016,Gaia DR1 2379962599871451264,63.73,3.17,67.1014,0.0228
HIP 86032,Gaia DR3 4493746564376875520,\N,\N,69.84,0.88,67.13,1.06
HIP 108405,Gaia DR3 6558208838138808576,Gaia DR2 6558208838138808576,Gaia DR1 6558208833842960384,61.63,2.67,67.2743,0.0205
HIP 25647,Gaia DR3 4660766641264343680,Gaia DR2 4660766641264343680,Gaia DR1 4660766258998862592,66.92,0.54,67.3331,0.4414
HIP 114361,Gaia DR3 6391176735363140480,Gaia DR2 6391176735363140480,Gaia DR1 6391176731067540096,66.36,0.95,67.3957,0.0198
HIP 101516,Gaia DR3 1831553382794173824,Gaia DR2 1831553382794173824,\N,67.65,2.32,67.4085,0.0367
HIP 79190,Gaia DR3 5835498883232034816,Gaia DR2 5835498883232034816,Gaia DR1 5835498878833108224,69.66,0.9,67.4469,0.019
HIP 106696,Gaia DR3 6465749496610128512,Gaia DR2 6465749496610128512,\N,67.85,0.92,67.5002,0.0175
HIP 77052,Gaia DR3 4423865487962417024,Gaia DR2 4423865487962417024,\N,68.16,0.87,67.6007,0.036
HIP 13375,Gaia DR3 139860666488305664,Gaia DR2 139860666488305664,\N,70.19,1.68,67.6743,0.0147
HIP 33817,Gaia DR3 2920772722738017920,Gaia DR2 2920772722738017920,Gaia DR1 2920772718438930688,68.42,0.72,67.8007,0.2184
HIP 78170,Gaia DR3 5994771148252505216,Gaia DR2 5994771148252505216,Gaia DR1 5994771143940476800,68.18,1.02,67.8433,0.0246
HIP 75181,Gaia DR3 5902750168276592256,Gaia DR2 5902750168276592256,Gaia DR1 5902750163955467392,68.7,0.79,67.8467,0.0601
HIP 14445,Gaia DR3 630505494719360,Gaia DR2 630505494719360,Gaia DR1 677436601666432,67.69,1.78,67.9335,0.0274
HIP 7918,Gaia DR3 348515297330773120,Gaia DR2 348515297330377856,\N,79.09,0.83,68.0244,0.3718
HIP 38082,Gaia DR3 672091364541849344,Gaia DR2 672091364541849344,Gaia DR1 672091428965281664,70.74,2.66,68.0334,0.0223
HIP 1368,Gaia DR3 383426372059603712,Gaia DR2 383426372059603712,Gaia DR1 383402900061374080,66.71,1.12,68.0846,0.0209
HIP 99150,Gaia DR3 6748796396992580352,Gaia DR2 6748796396992580352,\N,68.49,5.17,68.1161,0.033
HIP 101997,Gaia DR3 6854626246593473792,Gaia DR2 6854626246593473792,\N,68.28,0.82,68.1557,0.03
HIP 102485,Gaia DR3 6805455124526007424,Gaia DR2 6805455124524918400,\N,68.16,0.91,68.337,0.1823
HIP 30630,Gaia DR3 3372159045216183552,Gaia DR2 3372159045216183552,Gaia DR1 3372159040917375360,68.2,1.1,68.4142,0.0983
HIP 74190,Gaia DR3 1155276250492687616,Gaia DR2 1155276250492687616,\N,68.99,2.63,68.4504,0.0199
HIP 35296,Gaia DR3 5510446584122149120,Gaia DR2 5510446511101630208,\N,67.69,0.86,68.52,0.56
HIP 84862,Gaia DR3 1333760419707327744,Gaia DR2 1333760419707327744,\N,69.48,0.56,68.5575,0.0553
HIP 25278,Gaia DR3 3400292798990117888,Gaia DR2 3400292798990117888,\N,68.19,0.94,68.5908,0.104
HIP 79431,Gaia DR3 6245870673116518784,Gaia DR2 6245870673116518784,Gaia DR1 6245870737539431168,67.13,3.55,68.61,0.0287
HIP 116215,Gaia DR3 2395031273585836288,Gaia DR2 2395031273585836288,Gaia DR1 2395031269290597376,71.7,1.36,68.7356,0.0272
HIP 25220,Gaia DR3 3394298532176344960,Gaia DR2 3394298532176344960,Gaia DR1 3394298532176344960,69.76,1.5,68.7662,0.0246
HIP 70218,Gaia DR3 1284721994948665216,Gaia DR2 1284721994948665216,Gaia DR1 1284721990653098880,69.43,1.08,68.8506,0.0216
HIP 112774,Gaia DR3 2611163717366876544,Gaia DR2 2611163717366876544,\N,71.43,1.84,68.9303,0.0195
HIP 62145,Gaia DR3 1568219729458240128,Gaia DR2 1568219729458240128,\N,66.4,0.78,68.9516,0.4864
HIP 27359,Gaia DR3 2887328533953284096,Gaia DR2 2887328533953284096,Gaia DR1 2887327052187353472,66.71,1.49,68.9709,0.0141
HIP 44722,Gaia DR3 5743705394673617664,Gaia DR2 5743705394673617664,Gaia DR1 5743705394673617664,68.86,1.8,68.9762,0.0179
HIP 67308,\N,\N,Gaia DR1 6171492074455952128,61.07,2.93,69.01,1.35
HIP 103800,Gaia DR3 6910371005081903488,Gaia DR2 6910371005081903488,Gaia DR1 6910371000787222016,72.37,2.86,69.0219,0.0284
HIP 70497,Gaia DR3 1604859511344724864,Gaia DR2 1604859511344338816,\N,68.63,0.56,69.0686,0.1579
HIP 54952,Gaia DR3 1078773262224027520,Gaia DR2 1078773262224027520,Gaia DR1 1078773257928567808,68.13,1.18,69.1364,0.0151
HIP 96285,Gaia DR3 4291123545113039616,Gaia DR2 4291123545113039616,Gaia DR1 4291123540788287488,69.09,1.65,69.2566,0.0152
HIP 42438,Gaia DR3 1092545710514654464,Gaia DR2 1092545710514654464,Gaia DR1 1092545706218403072,70.07,0.71,69.2576,0.0485
HIP 86036,Gaia DR3 1439121018358632832,Gaia DR2 1439121018358632832,\N,70.98,0.55,69.2832,0.2004
HIP 103441,Gaia DR3 1838855376946302720,Gaia DR2 1838855376946302720,\N,73.24,3.24,69.2976,0.0245
HIP 17609,Gaia DR3 70051608089857536,Gaia DR2 70051608089857536,Gaia DR1 70051603792616192,68.62,1.78,69.5143,0.0246
HIP 47741,Gaia DR3 646818024623804416,Gaia DR2 646818024623804416,\N,70.59,3.97,69.5883,0.0274
HIP 102422,Gaia DR3 2195115561168483712,Gaia DR2 2195115561163064960,\N,69.73,0.49,69.5976,0.1279
HIP 78775,Gaia DR3 1379500756257031808,Gaia DR2 1379500756257031808,Gaia DR1 1379500751961664640,69.61,0.57,69.6405,0.014
HIP 86087,Gaia DR3 1439069444391326208,Gaia DR2 1439069444391326208,\N,70.95,1.09,69.8921,0.0153
HIP 100923,Gaia DR3 6798111177125746944,Gaia DR2 6798111275908572032,\N,64.93,15.66,69.9597,0.0463
HIP 12843,Gaia DR3 5129338021224785408,Gaia DR2 5129338021224785408,\N,71.56,0.76,70.0459,0.1599
HIP 61706,Gaia DR3 3928391218812375808,Gaia DR2 3928391218812375808,\N,65.04,2.76,70.1139,0.0297
HIP 92200,Gaia DR3 4258375617747092864,Gaia DR2 4258375617747092864,Gaia DR1 4258375617747092864,70.8,1.28,70.1335,0.0258
HIP 67691,Gaia DR3 1510834911934401152,Gaia DR2 1510834911934401152,Gaia DR1 1510834907637637248,71.39,0.95,70.1492,0.0174
HIP 36985,Gaia DR3 3060788519149063680,Gaia DR2 3060788514846284032,Gaia DR1 3060788514846284032,69.85,1.53,70.2749,0.1311
HIP 81935,Gaia DR3 5970956070030449792,Gaia DR2 5970956070030449792,Gaia DR1 5970956065676872576,69.58,0.99,70.322,0.0196
HIP 70865,Gaia DR3 1229089524081628416,Gaia DR2 1229089524081628416,Gaia DR1 1229089313628425600,70.06,2.25,70.3249,0.0211
HIP 93206,Gaia DR3 6662167868705713664,Gaia DR2 6662167868705713664,Gaia DR1 6662167864411208064,72.07,2.52,70.5952,0.0261
HIP 42220,Gaia DR3 1093918828739878528,Gaia DR2 1093918828739148672,\N,71.96,1.26,70.6195,0.2252
HIP 86961,Gaia DR3 4055585060376248832,Gaia DR2 4055585060376248832,\N,161.77,11.29,70.6792,0.0187
HIP 97944,Gaia DR3 6863535898551993472,Gaia DR2 6863535898551993472,\N,70.34,0.81,70.701,0.035
HIP 86963,Gaia DR3 4055584308787727488,Gaia DR2 4055584308787727488,\N,161.77,11.29,70.7335,0.1163
HIP 79672,Gaia DR3 4345775217221821312,Gaia DR2 4345775217221821312,\N,71.3,0.89,70.7371,0.0631
HIP 61901,Gaia DR3 3934198156329809152,Gaia DR2 3934198156329809152,Gaia DR1 3934198152034691584,69.94,1.1,70.8793,0.0266
HIP 83762,Gaia DR3 4568060562432051584,Gaia DR2 4568060562432051584,Gaia DR1 4568060558136035840,73.94,3.01,70.9684,0.0224
HIP 37349,Gaia DR3 3057712223051571200,Gaia DR2 3057712223051571200,Gaia DR1 3057712218750616448,70.44,0.94,71.0323,0.0243
HIP 67487,Gaia DR3 6288325222245417856,Gaia DR2 6288325222245417856,\N,70.49,1.01,71.078,0.0318
HIP 110109,Gaia DR3 6508776375901968640,Gaia DR2 6508776375901968640,\N,73.47,0.7,71.0938,0.0554
HIP 12097,Gaia DR3 87921523897823872,Gaia DR2 87921523897823872,Gaia DR1 87921519602945152,71.6,1.89,71.2164,0.0232
HIP 116317,Gaia DR3 2644439955745152512,Gaia DR2 2644439955745152512,Gaia DR1 2644439951450556928,71.56,4.77,71.2339,0.0229
HIP 28035,Gaia DR3 2910909931633597312,Gaia DR2 2910909931633597312,Gaia DR1 2910909927336246272,68.58,1.94,71.2607,0.0172
HIP 35353,Gaia DR3 948039989652369408,Gaia DR2 948039989652369408,Gaia DR1 948039985355827584,69.21,2.16,71.3227,0.0234
HIP 14879,Gaia DR3 5059348952161258624,Gaia DR2 5059348952156075776,\N,70.86,0.67,71.4337,0.132
HIP 87938,Gaia DR3 1350714133093019904,Gaia DR2 1350714133093019904,Gaia DR1 1350714128798235392,73.75,1.84,71.4952,0.0152
HIP 52190,\N,Gaia DR2 5442691069843124992,\N,68.38,3.76,71.51,2.48
HIP 15638,Gaia DR3 567659818855055488,Gaia DR2 567659818855055488,Gaia DR1 567659814558261120,72.8,1.63,71.6586,0.0138
HIP 12261,Gaia DR3 4726357491998516480,Gaia DR2 4726357491998516480,\N,67.2,3.03,71.7043,0.0192
HIP 4148,Gaia DR3 5031808453624044800,Gaia DR2 5031808453624044800,Gaia DR1 5031808449327958912,71.01,0.78,71.7259,0.0267
HIP 17420,Gaia DR3 5107106033552702208,Gaia DR2 5107106033552702208,Gaia DR1 5107105926176194560,71.17,0.91,71.7505,0.021
HIP 19337,Gaia DR3 170639948323693952,Gaia DR2 170639948323693952,Gaia DR1 170639944023926912,73.01,2.19,71.8221,0.0189
HIP 16852,Gaia DR3 3263836568394170880,Gaia DR2 3263836568393943808,\N,72.89,0.78,71.837,0.1503
HIP 53721,Gaia DR3 777254360337133312,Gaia DR2 777254360337133312,\N,71.04,0.66,72.007,0.0974
HIP 23518,Gaia DR3 266846631637524864,Gaia DR2 266846631637524864,Gaia DR1 266846627338158592,71.35,1.76,72.1734,0.0173
HIP 60910,Gaia DR3 3902745286187581312,Gaia DR2 3902745286187581312,\N,73.77,3.67,72.2664,0.6964
HIP 116727,Gaia DR3 2281778105594488192,Gaia DR2 2281778105591104768,\N,72.5,0.52,72.5167,0.147
HIP 544,Gaia DR3 2860924621205256704,Gaia DR2 2860924621205256704,Gaia DR1 2860924685628241024,72.98,0.75,72.6419,0.0292
HIP 97241,Gaia DR3 2034628782438989440,Gaia DR2 2034628782438989440,Gaia DR1 2034628778100458752,87.57,4.8,72.7,0.014
HIP 83990,Gaia DR3 5914096303621755520,Gaia DR2 5914096303621755520,Gaia DR1 5914096299313759232,73.07,0.91,72.8538,0.0218
HIP 61094,Gaia DR3 3902785006045478656,Gaia DR2 3902785109124370432,\N,74.58,1.48,72.8932,0.0289
HIP 65011,Gaia DR3 1473166433840438016,Gaia DR2 1473166433840438016,Gaia DR1 1473166429543995136,75.96,3.31,72.9733,0.3217
HIP 52600,\N,Gaia DR2 776067089642433664,\N,70.87,2.36,72.9871,0.2603
HIP 116771,Gaia DR3 2756363608023588864,Gaia DR2 2756363608023335808,\N,72.51,0.88,73.237,0.1698
HIP 76832,Gaia DR3 1706907487621086464,Gaia DR2 1706907487620624000,\N,76.57,2.27,73.2573,0.3008
HIP 16711,Gaia DR3 4833654227548585856,Gaia DR2 4833654227548585856,Gaia DR1 4833654223252552192,74.86,0.83,73.5199,0.0164
HIP 98036,Gaia DR3 4296708789290712064,Gaia DR2 4296708789289486080,\N,72.95,0.83,73.5249,0.1415
HIP 79537,Gaia DR3 5835113573101867520,Gaia DR2 5835113573101867520,Gaia DR1 5835113603092103424,72.75,0.82,73.5482,0.0184
HIP 46769,Gaia DR3 798914636327665536,Gaia DR2 798914636327665536,Gaia DR1 798914632030688896,73.88,2.02,73.6956,0.0183
HIP 46853,Gaia DR3 1018776176872261248,Gaia DR2 1018776176871826048,\N,74.15,0.74,73.8284,0.2046
HIP 65012,Gaia DR3 1473166433840437888,Gaia DR2 1473166433840437888,\N,55.48,39.3,73.9231,0.0333
HIP 8070,Gaia DR3 512129087182637696,Gaia DR2 512129087182637696,\N,74.45,1.11,73.9769,0.0183
HIP 27188,Gaia DR3 283569928616960768,Gaia DR2 283569928616960768,Gaia DR1 283569924319916416,73.04,1.11,74.1187,0.018
HIP 28368,Gaia DR3 269067920001221888,Gaia DR2 269067920001221888,Gaia DR1 269067915704161792,73.58,21.52,74.1397,0.0173
HIP 7513,Gaia DR3 348020482735930112,Gaia DR2 348020448377061376,\N,74.25,0.72,74.194,0.2083
HIP 56157,Gaia DR3 3592769731134725248,Gaia DR2 3592769731134725248,\N,71.64,4.02,74.2047,0.0247
HIP 50341,Gaia DR3 3765772972322477696,Gaia DR2 3765772972322477696,\N,72.79,2.37,74.238,0.0262
HIP 10617,Gaia DR3 4971681351020953088,Gaia DR2 4971681351020953088,Gaia DR1 4971681346726128000,70.16,2.88,74.5735,0.035
HIP 91430,Gaia DR3 4103671243754951296,Gaia DR2 4103671239732631936,Gaia DR1 4103671239348631936,78.52,2.87,74.7918,0.0528
HIP 66625,Gaia DR3 1503625448550796032,Gaia DR2 1503625448550796032,Gaia DR1 1503625444254250880,75.43,1.59,74.7985,0.0153
HIP 78353,Gaia DR3 4347870370990204928,Gaia DR2 4347870370990204928,Gaia DR1 4347870366689932544,71.84,1.91,75.2941,0.0232
HIP 111960,Gaia DR3 6608490501308343168,Gaia DR2 6608490501308343168,Gaia DR1 6608490497012980224,73.85,1.13,75.3248,0.0232
HIP 22263,Gaia DR3 2980492387558410112,Gaia DR2 2980492387558410112,\N,75.1,0.8,75.5289,0.0539
HIP 71181,Gaia DR3 1605198298364601088,Gaia DR2 1605198298364601088,Gaia DR1 1605198294068793088,74.5,0.69,75.5689,0.0151
HIP 115562,Gaia DR3 2009439555118168832,Gaia DR2 2009439555118168832,Gaia DR1 2009439550816514944,76.23,1.41,75.5723,0.013
HIP 21818,Gaia DR3 3411339626674506624,Gaia DR2 3411339626673664000,Gaia DR1 3411339622378394624,74.13,1.24,75.687,0.0241
HIP 89211,Gaia DR3 6721432232656218752,Gaia DR2 6721432232656218752,\N,77.18,1.23,75.7122,0.0211
HIP 13218,Gaia DR3 4741883764414703232,Gaia DR2 4741883764414703232,Gaia DR1 4741883760118440320,76.45,1.46,75.7208,0.0152
HIP 90790,Gaia DR3 4093301474693288960,Gaia DR2 4093301474693288960,Gaia DR1 4093301470306839040,75.71,0.89,75.8476,0.0349
