HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 2618,21Eps CMa,HD 52089,\N,1.50,-0.21,B2II
HR 1790,24Gam Ori,HD 35468,\N,1.64,-0.22,B2III
HR 3207,Gam2Vel,HD 68273,\N,1.78,-0.22,WC8+O9I
HR 5132,Eps Cen,HD 118716,\N,2.30,-0.22,B1III
HR 5231,Zet Cen,HD 121263,\N,2.55,-0.22,B2.5IV
HR 6508,34Ups Sco,HD 158408,\N,2.69,-0.22,B2IV
HR 6527,35Lam Sco,HD 158926,\N,1.63,-0.22,B2IV+B
HR 7121,34Sig Sgr,HD 175191,\N,2.02,-0.22,B2.5V
HR 2294,2Bet CMa,HD 44743,\N,1.98,-0.23,B1II-III
HR 4853,Bet Cru,HD 111123,\N,1.25,-0.23,B0.5III
HR 5056,67Alp Vir,HD 116658,\N,0.98,-0.23,B1III-IV+B2V
HR 5267,Bet Cen,HD 122451,\N,0.61,-0.23,B1III
HR 4730,Alp1Cru,HD 108248,\N,1.33,-0.24,B0.5IV
HR 4731,Alp2Cru,HD 108249,\N,1.73,-0.26,B1V
HR 182,M 31  And,\N,\N,\N,\N,\N
HR 1949,50Zet Ori,HD 37743,\N,4.21,\N,B0III
HR 2257,4    Lyn,HD 43812,\N,5.94,\N,A3V
HR 2285,\N,HD 44472,\N,5.97,\N,A4V
HR 2472,NOVA 1903,\N,\N,\N,\N,\N
HR 2496,NGC 2281,\N,\N,\N,\N,\N
HR 2898,\N,HD 60335,\N,6.30,\N,F0
HR 3352,\N,HD 71973,\N,6.31,\N,A2m
HR 3515,M 67,\N,\N,\N,\N,\N
HR 3671,NGC 2808,\N,\N,\N,\N,\N
HR 3686,\N,HD 80024,\N,5.75,\N,A8V
HR 3806,\N,HD 82685,\N,6.42,\N,F2V+F1V
HR 4028,\N,HD 88987,\N,6.55,\N,A9IV
HR 4058,41Gam2Leo,HD 89485,\N,3.80,\N,G7IIIFe-1
HR 4062,\N,HD 89571,\N,5.50,\N,F0IV
HR 4481,\N,HD 101150,\N,6.46,\N,A5IV
HR 4950,\N,HD 113889,\N,6.31,\N,F0V
HR 4969,42Alp Com,HD 114379,\N,5.22,\N,F5V
HR 5477,30Zet Boo,HD 129246,\N,4.83,\N,A2III
HR 5606,Pi  Lup,HD 133243,\N,4.82,\N,B5IV
HR 5728,2Eta CrB,HD 137108,\N,6.08,\N,G3V
HR 595,113Alp Psc,HD 12446,\N,5.23,\N,A3m
HR 6515,NOVA 1604,\N,\N,\N,\N,\N
HR 6665,\N,HD 162734,\N,6.46,\N,K0III
HR 7099,\N,HD 174569,\N,6.55,\N,K5III+K3III
HR 7539,NOVA 1670,\N,\N,\N,\N,\N
HR 81,\N,HD 1663,\N,6.56,\N,A0V
HR 8258,\N,HD 205541,\N,6.11,\N,A4V
HR 8687,\N,HD 216172,\N,6.19,\N,F5V
HR 92,NOVA 1572,\N,\N,\N,\N,\N
HR 95,47    Tuc,\N,\N,\N,\N,\N
HR 979,\N,HD 20283,\N,6.45,\N,B9VpSi
